"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c14","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not intelligent-Intelligent",NA,"Intelligent",5
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c15","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not moral-Moral",NA,"Not moral",1
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c15","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not moral-Moral",NA,NA,2
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c15","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not moral-Moral",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c15","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not moral-Moral",NA,NA,4
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c15","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not moral-Moral",NA,"Moral",5
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c16","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not ambitious-Ambitious",NA,"Not ambitious",1
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c16","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not ambitious-Ambitious",NA,NA,2
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c16","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not ambitious-Ambitious",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c16","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not ambitious-Ambitious",NA,NA,4
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c16","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not ambitious-Ambitious",NA,"Ambitious",5
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c18","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Devious-Not devious",NA,"Devious",1
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c18","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Devious-Not devious",NA,NA,2
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c18","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Devious-Not devious",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c18","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Devious-Not devious",NA,NA,4
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c18","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Devious-Not devious",NA,"Not devious",5
