"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D8","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"With at least one person who is knowledgeable about the disease in the house, he/she can help prevent the disease in the home.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D8","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"With at least one person who is knowledgeable about the disease in the house, he/she can help prevent the disease in the home.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D8","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"With at least one person who is knowledgeable about the disease in the house, he/she can help prevent the disease in the home.",NA,"Strongly Disagree",8
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D9","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"All the time and money I spent to stop dengue is worthwhile because I'm concerned about living a healthier lifestyle.",NA,"Strongly Agree",1
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D9","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"All the time and money I spent to stop dengue is worthwhile because I'm concerned about living a healthier lifestyle.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D9","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"All the time and money I spent to stop dengue is worthwhile because I'm concerned about living a healthier lifestyle.",NA,NA,3
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D9","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"All the time and money I spent to stop dengue is worthwhile because I'm concerned about living a healthier lifestyle.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D9","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"All the time and money I spent to stop dengue is worthwhile because I'm concerned about living a healthier lifestyle.",NA,NA,5
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D9","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"All the time and money I spent to stop dengue is worthwhile because I'm concerned about living a healthier lifestyle.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D9","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"All the time and money I spent to stop dengue is worthwhile because I'm concerned about living a healthier lifestyle.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D9","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"All the time and money I spent to stop dengue is worthwhile because I'm concerned about living a healthier lifestyle.",NA,"Strongly Disagree",8
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D10","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need a lot of money to implement dengue prevention at home.",NA,"Strongly Agree",1
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D10","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need a lot of money to implement dengue prevention at home.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D10","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need a lot of money to implement dengue prevention at home.",NA,NA,3
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D10","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need a lot of money to implement dengue prevention at home.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D10","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need a lot of money to implement dengue prevention at home.",NA,NA,5
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D10","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need a lot of money to implement dengue prevention at home.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D10","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need a lot of money to implement dengue prevention at home.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D10","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need a lot of money to implement dengue prevention at home.",NA,"Strongly Disagree",8
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D11","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am very busy until I have no time to implement dengue prevention at home.",NA,"Strongly Agree",1
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D11","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am very busy until I have no time to implement dengue prevention at home.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D11","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am very busy until I have no time to implement dengue prevention at home.",NA,NA,3
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D11","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am very busy until I have no time to implement dengue prevention at home.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D11","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am very busy until I have no time to implement dengue prevention at home.",NA,NA,5
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D11","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am very busy until I have no time to implement dengue prevention at home.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D11","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am very busy until I have no time to implement dengue prevention at home.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D11","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am very busy until I have no time to implement dengue prevention at home.",NA,"Strongly Disagree",8
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D12","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to spend the weekend with my family rather than participating in gotong royong to prevent dengue.",NA,"Strongly Agree",1
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D12","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to spend the weekend with my family rather than participating in gotong royong to prevent dengue.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D12","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to spend the weekend with my family rather than participating in gotong royong to prevent dengue.",NA,NA,3
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D12","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to spend the weekend with my family rather than participating in gotong royong to prevent dengue.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D12","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to spend the weekend with my family rather than participating in gotong royong to prevent dengue.",NA,NA,5
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D12","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to spend the weekend with my family rather than participating in gotong royong to prevent dengue.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D12","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to spend the weekend with my family rather than participating in gotong royong to prevent dengue.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D12","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to spend the weekend with my family rather than participating in gotong royong to prevent dengue.",NA,"Strongly Disagree",8
