_key,source,title,url,doi,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,license
,figshare,Table_1_Copy-number variants and polygenic risk for intelligence confer risk for autism spectrum disorder irrespective of their effects on cognitive ability.xlsx,https://frontiersin.figshare.com/articles/dataset/Table_1_Copy-number_variants_and_polygenic_risk_for_intelligence_confer_risk_for_autism_spectrum_disorder_irrespective_of_their_effects_on_cognitive_ability_xlsx/25729383,10.3389/fpsyt.2024.1369767.s002,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Table', 'Name', 'Legend']",,,,,Table_1_Copy-number variants and polygenic risk for intelligence confer risk for autism spectrum disorder irrespective of their effects on cognitive a.xlsx,0.0,cc-by
,dataverse,Attraction and achievement as 2 attributes of gamification in healthcare: an evolutionary concept analysis,https://doi.org/10.7910/DVN/NBDNKH,10.7910/dvn/nbdnkh,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Supplement 1. The 56 selected articles for the evolutionary concept analysis about gamification in healthcare.'],,,,,jeehp-21-10-suppl1.xlsx,0.0,cc0
,figshare,Replication data for: Integrating Adaptive Programming of Asynchronous Simulator Training for Motivated Goal Achievement in Professional Education,https://usn.figshare.com/articles/dataset/Integrating_Adaptive_Programming_of_Asynchronous_Simulator_Training_for_Motivated_Goal_Achievement_in_Professional_Education/17111846,10.23642/usn.17111846.v3,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Arkivnøkkel', 'Pre-test score']",,,,,Integrating_motivated_goal_achievement_in_maritime_simulator_training.xlsx,0.0,cc-by
,dataverse,Does Reading English Newspaper Help Bangladeshi Students On English Proficiency?,https://doi.org/10.7910/DVN/6MRSSW,10.7910/dvn/6mrssw,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Timestamp', 'Name', 'Institution', 'Curriculum (at high school)', 'Are you a regular Daily Star reader?', 'Does reading Daily Star help enrich English voacbulary?', 'Please see this YouTube playlist (https://youtube.com/playlist?list=PLym64gLNOGdqNXMbx",,,,,Does Reading English Newspaper Help Bangladeshi Students On Their English Proficiency (2023).csv,0.0,cc0
,dataverse,Dynamic Capabilities in Cybersecurity Intelligence: empirical evidence to enhance protection against cyber threats.,https://doi.org/10.7910/DVN/IWC1IS,10.7910/dvn/iwc1is,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column ' ID3 ; ID4 ; ECR1 ; ECR2 ; ECR3 ; ECR4 ; DCS1 ; DCS2 ; DCS3 ; DCS4 ; RCD1 ; RCD2 ; RCD3 ; RCD4 ; RCD5 ; STA1 ; STA2 ; STA3 ; STA4 ; IMC1 ; IMC2 ; IMC3 ; IMC4 ; SPA1 ; SPA2 ; SPA3 ; SPA4 ; PMC1 ; PMC2 ; PMC3 ; PMC4 ; MAS1 ; MAS2 ; MAS3 ; MAS4 ",,,,,Base207.csv,0.0,cc0
,dataverse,Replication Data for: A meta-analytic cognitive framework of nudge and sludge,https://doi.org/10.7910/DVN/N9EJNR,10.7910/dvn/n9ejnr,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Data_col_name_abbr', 'Data_col_name']",,,,,column_name_full.xlsx,1.0,cc0
,osf,The Influence of HEXACO Personality Traits on the Teamwork Quality in Student Software Teams - Supplementary Material,https://osf.io/jb94w/,,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['id;submitdate;F01r;F02;F03;F04;F05;F06;F07;F08;F09r;F10r;F11;F12r;F13;F14r;F15r;F16;F17;F18;F19;F20r;F21r;F22;F23;F24r;F25;F26r;F27;F28r;F29;F30r;F31r;F32r;F33;F34;F35r;F36;F37;F38;F39;F40;F41r;F42r;F43;F44r;F45;F46r;F47;F48r;F49r;F50;F51;F52r;F53r;F54,,,,,HEXACO_TWQ_raw-data.csv,0.0,563c1cf88c5e4a3877f9e96a
,osf,A multinational study of Dark Triad personality trait comparisons by sex in 15 countries: A network analysis approach,https://osf.io/sva6h/,,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Network', 'Weights', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Global Properties', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9'] | license_unknown* — license '563c1cf88c5e4a3877f9e96c' not recognised as open; verify before submission",,,,,Negative Networks.xlsx,1.0,563c1cf88c5e4a3877f9e96c
,dataverse,Replication data for: Community-wide Support for Primary Students to Improve Foundational Literacy and Numeracy: Empirical Evidence from Madagascar,https://doi.org/10.7910/DVN/RCJ1YC,10.7910/dvn/rcj1yc,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variable name', 'Variable label', 'Value label']",,,,,codebook_dta file.xlsx,2.0,cc0
,figshare,A Research on Genomic Literacy in Japan,https://figshare.com/articles/dataset/A_Research_on_Genomic_Literacy_in_Japan/22122380,10.6084/m9.figshare.22122380.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5']",,,,,"A Research on Genomic Literacy in Japan (Miyoshi,T & Watanabe, M).xlsx",0.0,cc-by
